Date,Open,High,Low,Close,Volume
2019-11-11,63.50218302405717,64.5273667964738,63.497268792293134,64.46099090576172,81821200.0
2019-11-21,64.82728897093085,64.9059616816437,64.21021161915606,64.41426849365234,121395200.0
2019-11-26,65.62630751207502,65.68039407696169,64.53474774992192,64.97481536865234,105207600.0
2019-12-06,65.75905138579607,66.6244287183823,65.71479329570887,66.55313110351562,106075600.0
2019-12-11,66.08602907984479,66.64901993832211,66.0098172281355,66.56788635253906,78756800.0
2019-12-16,68.09951742291437,69.03127826384542,68.09460319120025,68.8026351928711,128186000.0
2019-12-26,70.02203337697445,71.2906027869957,69.99253298414843,71.27339172363281,93121200.0
2019-12-31,71.27831367448513,72.20023856336071,71.17751565298413,72.19286346435547,100805600.0
2020-01-10,76.35996249136615,76.86886680085775,75.78222142764211,76.2935791015625,140644800.0
2020-01-15,76.66726955237623,77.56460821022254,76.10181782770456,76.54188537597656,121923600.0
2020-01-30,78.80367146241782,79.67642389354998,78.36360394657393,79.6223373413086,126743200.0
2020-02-04,77.51789968852107,78.58241978943451,77.10487915404067,78.38819885253906,136616400.0
2020-02-07,,,,,
2020-02-14,80.02570550873608,80.33128393610778,79.55995654642571,80.07746124267578,80113600.0
2020-02-19,78.85762675422797,79.98381404121963,78.85762675422797,79.74970245361328,93984000.0
2020-02-24,73.25381068526356,74.95910269021748,71.27497737080158,73.48052215576172,222195200.0
2020-03-05,72.82501548368523,73.81812841821485,71.81219145149629,72.1843032836914,187572800.0
2020-03-10,68.29564567254519,70.58744273358417,66.3808788661417,70.31636810302734,285290000.0
2020-03-20,60.91258696101863,62.05848911909357,56.18605970803156,56.491634368896484,401693200.0
2020-03-25,61.792345477262565,63.64057116451867,60.20287213826727,60.503517150878906,303602000.0
2020-03-30,61.78988198558796,62.967817512402256,61.45966280793697,62.792850494384766,167976400.0
2020-04-09,66.21577279273609,66.55338083622568,65.23005236423508,66.04080200195312,162116400.0
2020-04-14,69.00042568328865,71.03347394002841,68.51988399624307,70.73775482177734,194994800.0
2020-04-24,68.31042378450636,69.74218200217219,68.26113475845041,69.7323226928711,126508800.0
2020-04-29,70.16604418212039,71.38340946217208,69.9590438032243,70.90533447265625,137280800.0
2020-05-04,71.26019269395869,72.37405399745559,70.55786543080961,72.24344635009766,33392000.0
2020-05-08,,,,,
2020-05-14,75.85961157387149,77.17496622121547,75.11723047420676,77.11268615722656,158929200.0
2020-05-19,78.4803548201495,79.3497820904854,77.97713463432576,78.009521484375,101729600.0
2020-05-29,79.53164632345447,80.00497331669462,78.83909227585956,79.2052993774414,153598000.0
2020-06-03,80.87938721301796,81.26303455488679,80.29145942654584,80.99398040771484,104491200.0
2020-06-08,82.27196610641506,83.10652050037335,81.5420455670845,83.07164001464844,95654400.0
2020-06-18,87.54335707966659,88.05156457129333,86.99778306715864,87.62307739257812,96820400.0
2020-06-23,90.67977699429373,92.76740604370178,90.24879619638737,91.31005096435547,212155600.0
2020-07-08,93.84858841977885,95.03938300629316,93.75890116925304,95.00699615478516,117092000.0
2020-07-13,96.92273371674771,99.6032703122537,94.92229820984525,95.14152526855469,191649200.0
2020-07-23,96.65617171964784,96.73589203115007,91.68622686407366,92.5182876586914,197004400.0
2020-07-28,94.03542883119292,94.21728936561645,92.91936728218123,92.92435455322266,103625600.0
2020-08-07,113.01002983547716,113.47922157714277,110.10254753228871,110.92113494873047,198045600.0
2020-08-12,110.30719128035238,113.07991164208545,110.10753878040741,112.81536865234375,165944800.0
2020-08-17,115.86260636517486,115.8875648311,113.7662247037893,114.41011047363281,119561600.0
2020-08-27,126.92352756796794,127.26543647042013,123.61922311684117,124.7947006225586,155552400.0
2020-08-31,,,,,
2020-09-01,132.53134576868192,134.56784086528413,130.3051906989486,133.9488983154297,152470100.0
2020-09-11,114.37267948543793,115.03154644456092,109.81055055345807,111.8071060180664,180860300.0
2020-09-16,115.03154915511092,115.80021967594567,111.84704067682087,111.93688201904297,154679000.0
2020-09-21,104.35995198824106,110.0002225335863,102.92242965868286,109.89041137695312,195713800.0
2020-10-01,117.43739412396772,117.5172581720207,115.63051383023408,116.58885955810547,116120400.0
2020-10-06,115.50072949266251,115.92001192463269,112.05667439517026,112.9651107788086,161498200.0
2020-10-16,121.07111983512497,121.34065908278446,118.60537266498481,118.81501007080078,115393800.0
2020-10-21,116.46906393914934,118.50555147489459,116.24944161427659,116.6687240600586,89946000.0
2020-10-26,113.81364269517282,116.34926896680302,112.6855840199125,114.85185241699219,111850700.0
2020-11-05,117.74685517225915,119.41398476922083,116.66872101253077,118.82499694824219,126387100.0
2020-11-06,,,,,
2020-11-10,115.55000305175781,117.58999633789062,114.12999725341797,115.97000122070312,137656000.0
